id,URL,heading,author,date
0,https://www.theverge.com/23341555/apple-iphone-14-pro-max-notch-dynamic-island-fix,Apple might have fixed the notch by putting it on an island,Alex Cranz,2022-09-08
1,https://www.theverge.com/23341046/apple-iphone-14-plus-pro-max-notch-event-announcements-watch-8-se-ultra-airpods-pro,Apple’s iPhone 14 event: the 9 biggest announcements,Emma Roth,2022-09-08
2,https://www.theverge.com/2022/9/7/23342243/tim-cook-apple-rcs-imessage-android-iphone-compatibility,Tim Cook says ‘buy your mom an iPhone’ if you want to end green bubbles,Emma Roth,2022-09-08
3,https://www.theverge.com/2022/9/8/23342402/apple-vs-garmin-watch-user-interface,Will the Apple Watch Ultra make Garmin the next Nokia?,Thomas Ricker,2022-09-08
4,https://www.theverge.com/2022/9/8/23341409/jeep-electric-suv-recon-wagoneer-s-avenger-release-date,"Jeep vows four electric SUVs by 2025, including all-new Recon and Wagoneer S",Andrew J. Hawkins,2022-09-08
5,https://www.theverge.com/23338833/iphone-14-pro-max-hands-on-notch-features-apple-event,Hands-on with the iPhone 14 Pro and iPhone 14 Pro Max,Tom Warren,2022-09-08
6,https://www.theverge.com/2022/9/7/23341609/apple-iphone-14-far-out-event-missing-announcements,Everything Apple didn’t announce at its iPhone 14 event,Emma Roth,2022-09-08
7,https://www.theverge.com/23320596/iphone-14-vs-android-apple-pro-comparison-price-specs,How the iPhone 14 compares to the best Android phones of 2022,Cameron Faulkner,2022-09-08
8,https://www.theverge.com/23322152/apple-watch-series-8-ultra-se-preorder-buy-price-release-date,"How to preorder the Apple Watch Series 8, Watch Ultra, and Watch SE",Antonio G. Di Benedetto,2022-09-08
9,https://www.theverge.com/2022/9/8/23339077/brydge-sp-max-plus-surface-pro-8-keyboard-case-features-price-microsoft,Brydge’s SP Max Plus is a pricey tank of a Type Cover replacement,Cameron Faulkner,2022-09-08
10,https://www.theverge.com/2022/9/7/23342222/steve-jobs-archive-website-launch,Steve Jobs’ friends and family just launched an archive to celebrate his life,Jay Peters,2022-09-08
11,https://www.theverge.com/23324010/apple-watch-series-8-se-ultra-hands-on-features-apple-event,"Apple Watch Series 8, SE, and Ultra hands-on: triple the fun",Victoria Song,2022-09-08
12,https://www.theverge.com/2022/9/7/23342203/jony-ive-multitouch-car-touchscreen-control-design-apple,Jony Ive doesn’t think your car should rely on multitouch,Mitchell Clark,2022-09-08
13,https://www.theverge.com/2022/9/7/23342120/apple-fake-youtube-live-stream-crypto-scam,Tens of thousands of viewers watched a fake Apple crypto scam on YouTube,Jay Peters,2022-09-08
14,https://www.theverge.com/apple/2022/9/7/23342078/tim-cook-jony-ive-laurene-powell-jobs-on-steve-jobs-at-code-liveblog,"Tim Cook, Jony Ive, and Laurene Powell Jobs, live at Code",Alex Heath,2022-09-08
